"","county_fips","state","county","coc_number","coc_name","coc_category","est_coc_homeless_2019","primary_care_physicians_rate","pct_in_poverty_in_cnty","additional_bed_capacity_needed","county_pop_2018","coc_pop_2019","pit_count_from_2019","coc_pop_in_pov_2019","observed_unsheltered_homeless","estimated_total_unsheltered","sheltered_homeless_individuals","density_reduction_bed_need","total_new_shelter_beds_required_in_coc","total_beds_required","upenn_cost_of_new_capacity_in_coc","cost_of_quarantine_beds","total_additional_cost","upenn_num_of_hospitalizations_in_cnty","upenn_num_of_critical_cases_in_cnty","upenn_num_of_fatalities_in_cnty"
"55","01109","Alabama","Pike","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,48,26.5942581300813,6,31488,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"56","01111","Alabama","Randolph","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,31,17.7230100122321,5,22073,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"57","01113","Alabama","Russell","GA-505","Columbus-Muscogee","Other Largely Urban CoC",0.134273061029141,26,20.1215241297191,11,57108,254883,278,51574,52,72.8,165,82.5,155,393.1,3882500,713400,4595900,1,0,0
"58","01117","Alabama","Shelby","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties","Largely Suburban CoC",0.126666224416556,81,8.44354458626295,174,207934,958459,981,138532,326,456.4,466,233,689,1611.8,17235000,2767200,20002200,10,3,2
"59","01115","Alabama","St. Clair","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties","Largely Suburban CoC",0.126666224416556,17,13.2038106844467,92,85339,958459,981,138532,326,456.4,466,233,689,1611.8,17235000,2767200,20002200,5,2,1
"60","01119","Alabama","Sumter","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,55,31.3336638572137,2,12102,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"61","01121","Alabama","Talladega","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,31,19.9484482669292,14,77204,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,1,0,0
"62","01123","Alabama","Tallapoosa","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,49,20.2879385198862,7,40078,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"63","01125","Alabama","Tuscaloosa","AL-506","Tuscaloosa City & County","Other Largely Urban CoC",0.0237022567157944,72,17.4094842789157,14,195629,206213,44,34058,0,0,27,13.5,13,40.5,337500,81000,418500,1,0,0
"64","01127","Alabama","Walker","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,41,19.7343543202874,11,63468,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,1,0,0
"65","01129","Alabama","Washington","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,18,21.0352826272738,2,16382,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"66","01131","Alabama","Wilcox","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,37,31.061473844979,2,10476,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"67","01133","Alabama","Winston","AL-502","Florence/Northwest Alabama","Largely Rural CoC",0.171251979759835,42,16.2363350206304,37,23509,265633,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,2,1,0
"68","02013","Alaska","Aleutians East","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,NA,15.3733528550512,2,3415,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"69","02016","Alaska","Aleutians West","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,35,8.54762767113365,4,5522,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"70","02020","Alaska","Anchorage","AK-500","Anchorage","Other Largely Urban CoC",0.450396591084773,110,9.17057166390952,487,288946,266776,1111,25217,97,135.8,702,351,486,1324.6,12170000,2513400,14683400,36,12,6
"71","02050","Alaska","Bethel","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,100,27.7676433701972,4,17542,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"72","02060","Alaska","Bristol Bay","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,0,5.79374275782155,12,863,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,1,0,0
"73","02068","Alaska","Denali","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,NA,16.9499310978411,2,2177,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"74","02070","Alaska","Dillingham","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,264,17.2455819622182,2,4923,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"75","02090","Alaska","Fairbanks North Star","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,78,8.12008802263439,140,95430,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,9,3,2
"76","02100","Alaska","Haines","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,277,9.03590157321501,10,2479,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,1,0,0
"77","02105","Alaska","Hoonah-Angoon","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,NA,9.71374941342093,2,2131,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"78","02110","Alaska","Juneau","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,128,7.90590899084877,103,31799,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,7,2,1
"79","02122","Alaska","Kenai Peninsula","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,78,11.9910773878526,24,56934,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,2,1,0
"80","02130","Alaska","Ketchikan Gateway","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,101,10.5483989694516,22,13585,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,1,0,0
"81","02150","Alaska","Kodiak Island","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,126,9.29484782771256,12,13373,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,1,0,0
"82","02158","Alaska","Kusilvak","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,NA,40.4516445753559,NA,8148,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,NA,NA,NA
"83","02164","Alaska","Lake and Peninsula","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,0,15.8857979502196,1,1366,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"84","02170","Alaska","Matanuska-Susitna","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,45,10.3365598081876,38,101349,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,2,1,0
"85","02180","Alaska","Nome","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,91,23.1378268569643,4,9599,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"86","02185","Alaska","North Slope","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,31,9.33691386077257,1,9682,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"87","02188","Alaska","Northwest Arctic","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,52,25.0914315569488,2,7656,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"88","02195","Alaska","Petersburg","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,183,8.23565700185071,7,3242,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"89","02198","Alaska","Prince of Wales-Hyder","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,78,15.1519875292284,8,6415,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"90","02220","Alaska","Sitka","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,196,7.470189385083,20,8554,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,1,0,0
"91","02230","Alaska","Skagway","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,0,5.31309297912714,22,1054,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,1,0,0
"92","02240","Alaska","Southeast Fairbanks","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,102,10.752688172043,3,6789,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"93","02261","Alaska","Valdez-Cordova","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,97,8.13636858729986,3,9181,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"94","02275","Alaska","Wrangell","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,119,7.79537149817296,7,2463,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"95","02282","Alaska","Yakutat","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,0,6.67634252539913,1,689,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"96","02290","Alaska","Yukon-Koyukuk","AK-501","Alaska Balance of State","Largely Rural CoC",0.213936254591972,19,25.1490312965723,0,5368,407919,796,47541,176,246.4,416,208,454,1116.8,11360000,1987200,13347200,0,0,0
"97","04001","Arizona","Apache","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,32,35.2801208252593,42,70184,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,2,1,0
"98","04003","Arizona","Cochise","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,55,17.2191190892423,140,117265,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,7,2,1
"99","04005","Arizona","Coconino","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,85,18.9345032905045,48,127640,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,2,1,0
"100","04007","Arizona","Gila","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,47,22.489095445801,74,52501,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,4,1,1
"101","04009","Arizona","Graham","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,59,21.2863889054935,53,33458,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,3,1,0
"102","04011","Arizona","Greenlee","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,53,11.8806606286628,30,9385,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,2,1,0
"103","04012","Arizona","La Paz","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,29,22.090971473385,30,20402,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,2,1,0
"104","04013","Arizona","Maricopa","AZ-502","Phoenix, Mesa/Maricopa County","Major City CoC",0.187631312661963,70,14.7317845129714,5322,4198378,4258868,6614,619063,3188,4463.2,1718,859,5322,11503.4,133055000,18543600,151598600,267,90,43
"105","04015","Arizona","Mohave","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,49,17.4762953977174,99,201965,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,5,2,1
"106","04017","Arizona","Navajo","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,62,28.5269778219133,72,105735,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,4,1,1
"107","04019","Arizona","Pima","AZ-501","Tucson/Pima County","Major City CoC",0.164059738781972,84,17.7805894911875,825,991092,1019722,1372,176222,361,505.4,639,319.5,824,1969.3,20622500,3433200,24055700,49,17,8
"108","04021","Arizona","Pinal","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,16,14.2388478205455,465,392300,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,24,8,4
"109","04021","Arizona","Pinal","AZ-502","Phoenix, Mesa/Maricopa County","Major City CoC",0.187631312661963,16,14.2388478205455,465,392300,4258868,6614,619063,3188,4463.2,1718,859,5322,11503.4,133055000,18543600,151598600,24,8,4
"110","04023","Arizona","Santa Cruz","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,50,23.9754187042887,255,46214,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,13,4,2
"111","04025","Arizona","Yavapai","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,62,14.0010723568222,173,220076,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,9,3,1
"112","04027","Arizona","Yuma","AZ-500","Arizona Balance of State","Largely Rural CoC",0.155403578569706,47,20.0558327980631,236,202390,1668095,2021,296907,983,1376.2,682,341,1717,3775.4,42930000,6174600,49104600,12,4,2
"113","05001","Arkansas","Arkansas","AR-505","Southeast Arkansas","Largely Rural CoC",0.0257801283139671,56,20.032609917913,1,17786,301619,75,61890,0,0,35,17.5,17,52.5,437500,105000,542500,0,0,0
"114","05003","Arkansas","Ashley","AR-505","Southeast Arkansas","Largely Rural CoC",0.0257801283139671,39,20.1945754716981,1,20352,301619,75,61890,0,0,35,17.5,17,52.5,437500,105000,542500,0,0,0
"115","05005","Arkansas","Baxter","AR-503","Arkansas  Balance of State","Largely Rural CoC",0.0963913395953166,75,13.9685977260422,45,40634,951334,811,176646,545,763,232,116,879,1874,21975000,2985000,24960000,2,1,0
"116","05007","Arkansas","Benton","AR-501","Fayetteville/Northwest Arkansas","Other Largely Urban CoC",0.107391735564817,60,9.91053316604716,211,255849,531472,518,69337,237,331.8,223,111.5,443,998.1,11082500,1664400,12746900,11,4,2
"117","05009","Arkansas","Boone","AR-503","Arkansas  Balance of State","Largely Rural CoC",0.0963913395953166,75,14.8856628281395,39,36646,951334,811,176646,545,763,232,116,879,1874,21975000,2985000,24960000,2,1,0
"118","05011","Arkansas","Bradley","AR-505","Southeast Arkansas","Largely Rural CoC",0.0257801283139671,55,23.2212160413972,1,10822,301619,75,61890,0,0,35,17.5,17,52.5,437500,105000,542500,0,0,0
"119","05013","Arkansas","Calhoun","AR-505","Southeast Arkansas","Largely Rural CoC",0.0257801283139671,38,15.5700454455641,0,5061,301619,75,61890,0,0,35,17.5,17,52.5,437500,105000,542500,0,0,0
"120","05015","Arkansas","Carroll","AR-501","Fayetteville/Northwest Arkansas","Other Largely Urban CoC",0.107391735564817,57,15.0052541942965,36,27597,531472,518,69337,237,331.8,223,111.5,443,998.1,11082500,1664400,12746900,2,1,0
"121","05017","Arkansas","Chicot","AR-505","Southeast Arkansas","Largely Rural CoC",0.0257801283139671,103,29.1793911929859,1,10151,301619,75,61890,0,0,35,17.5,17,52.5,437500,105000,542500,0,0,0
"122","05019","Arkansas","Clark","AR-503","Arkansas  Balance of State","Largely Rural CoC",0.0963913395953166,45,19.7731203581239,17,19658,951334,811,176646,545,763,232,116,879,1874,21975000,2985000,24960000,1,0,0
